model,label,contact_rate_pct,policy,n_total,n_selected,n_actual_captured,precision,recall,lift,customers_needed_by_rule_for_same_recall,contact_reduction_pct
Model_B_propensity,will_purchase_14d,20,무작위,7420944,1484189,20323,0.013693000015496679,0.1984823033049457,0.9924113827935774,,
Model_B_propensity,will_purchase_14d,30,무작위,7420944,2226283,30475,0.013688735888474197,0.2976306742714275,0.9921023366977622,,
Model_B_propensity,will_purchase_14d,5,최근성_규칙,7420944,371047,37803,0.10188197182567169,0.3691987655285569,7.383979290646606,,
Model_B_propensity,will_purchase_14d,10,최근성_규칙,7420944,742094,56866,0.07662910628572661,0.555375419954684,5.5537571931051755,,
Model_B_propensity,will_purchase_14d,20,최근성_규칙,7420944,1484189,76256,0.05137890120463095,0.7447456832565044,3.723727914496238,,
Model_B_propensity,will_purchase_14d,30,최근성_규칙,7420944,2226283,79605,0.03575690961122193,0.7774533166653644,2.591511288361783,,
Model_B_propensity,will_purchase_14d,5,모델_LightGBM,7420944,371047,47594,0.12826946451527704,0.46482147042737715,9.296434419464978,,
Model_B_propensity,will_purchase_14d,10,모델_LightGBM,7420944,742094,63739,0.08589073621401062,0.62249980467224,6.225001402091421,,
Model_B_propensity,will_purchase_14d,20,모델_LightGBM,7420944,1484189,79631,0.05365287035546012,0.7777072427533401,3.888535689771951,,
Model_B_propensity,will_purchase_14d,30,모델_LightGBM,7420944,2226283,87664,0.0393768447227958,0.8561606375498085,2.853869048212391,,
Model_B_propensity,will_purchase_14d,5,모델_vs_최근성_규칙_동일recall비교,7420944,371047,47594,,0.46482147042737715,,535074.0,30.655012203919462
Model_B_propensity,will_purchase_14d,10,모델_vs_최근성_규칙_동일recall비교,7420944,742094,63739,,0.62249980467224,,947559.0,21.683610202636462
Model_B_propensity,will_purchase_14d,20,모델_vs_최근성_규칙_동일recall비교,7420944,1484189,79631,,0.7777072427533401,,2257186.0,34.24604795528592
Model_B_propensity,will_purchase_14d,30,모델_vs_최근성_규칙_동일recall비교,7420944,2226283,87664,,0.8561606375498085,,4531684.0,50.872942597056635
Model_B_propensity,will_purchase_28d,5,무작위,7420944,371047,9463,0.025503507641889033,0.04978692060819698,0.9957389488821516,,
Model_B_propensity,will_purchase_28d,10,무작위,7420944,742094,18845,0.025394357049106985,0.09914768243278792,0.9914773587490302,,
Model_B_propensity,will_purchase_28d,20,무작위,7420944,1484189,37871,0.025516292062533814,0.19924764560425107,0.9962380937744406,,
Model_B_propensity,will_purchase_28d,30,무작위,7420944,2226283,56816,0.025520564995555373,0.2989214499921082,0.9964049228198909,,
Model_B_propensity,will_purchase_28d,5,최근성_규칙,7420944,371047,64690,0.1743444900511256,0.3403482927342558,6.806969523743674,,
Model_B_propensity,will_purchase_28d,10,최근성_규칙,7420944,742094,100949,0.13603263198462728,0.5311148524227916,5.3111513870180875,,
Model_B_propensity,will_purchase_28d,20,최근성_규칙,7420944,1484189,140040,0.09435455996507183,0.7367811858788867,3.683905432974378,,
Model_B_propensity,will_purchase_28d,30,최근성_규칙,7420944,2226283,146432,0.06577420750192137,0.770410901246909,2.5680365681913946,,
Model_B_propensity,will_purchase_28d,5,모델_LightGBM,7420944,371047,82366,0.22198265987866767,0.43334560951228496,8.666916861843738,,
Model_B_propensity,will_purchase_28d,10,모델_LightGBM,7420944,742094,113074,0.1523715324473719,0.5949071394749302,5.949074601389644,,
Model_B_propensity,will_purchase_28d,20,모델_LightGBM,7420944,1484189,144887,0.09762031654998117,0.7622823170410902,3.8114110716035325,,
Model_B_propensity,will_purchase_28d,30,모델_LightGBM,7420944,2226283,160078,0.07190370676144947,0.84220550323565,2.8073519296529588,,
Model_B_propensity,will_purchase_28d,5,모델_vs_최근성_규칙_동일recall비교,7420944,371047,82366,,0.43334560951228496,,527687.0,29.68426358807399
Model_B_propensity,will_purchase_28d,10,모델_vs_최근성_규칙_동일recall비교,7420944,742094,113074,,0.5949071394749302,,922879.0,19.589241926623103
Model_B_propensity,will_purchase_28d,20,모델_vs_최근성_규칙_동일recall비교,7420944,1484189,144887,,0.7622823170410902,,1926565.0,22.96190369907063
Model_B_propensity,will_purchase_28d,30,모델_vs_최근성_규칙_동일recall비교,7420944,2226283,160078,,0.84220550323565,,4014736.0,44.547213067060945
