label,split,method,n,actual_positive_rate,roc_auc,pr_auc,log_loss,brier_score,precision_at_5pct,recall_at_5pct,lift_at_5pct,precision_at_10pct,recall_at_10pct,lift_at_10pct,precision_at_20pct,recall_at_20pct,lift_at_20pct
churn_14d,val,무작위,611293,0.9474229215777049,0.5031928153590723,0.9475643653086228,0.9994314073151499,0.3331832852327046,0.9472599378373957,0.04999197103356108,0.9998279715039639,0.9473081516138003,0.09998739538602062,0.9998788608959203,0.9476439362337333,0.20004731046890892,1.0002332798278306
churn_14d,val,전체_평균,611293,0.9474229215777049,0.5,0.9474229215777049,0.20615803691218829,0.04982556097883358,0.9486994928840177,0.050067944049327205,1.001347414419937,0.9461630322760065,0.09986652922457451,0.9986701933497657,0.9465315436900351,0.1998124847838136,0.9990591552438003
churn_14d,val,최근성_규칙,611293,0.9474229215777049,0.6635618214100101,0.9677919813351316,1.2186308293330332,0.3582891255868157,0.9754948470472763,0.05148207813824671,1.029629772333167,0.9750200395884114,0.10291235649301653,1.029128615512859,0.974243204999223,0.2056624069978054,1.0283086706165556
churn_14d,val,구매빈도_규칙,611293,0.9474229215777049,0.6435314012001204,0.9623003600750258,0.4476126467612924,0.05116081596911532,0.9647963356780631,0.05091746049834845,1.0183375488440018,0.9654501136939914,0.10190226071521688,1.0190276081628535,0.9642562101767559,0.20355415581029537,1.0177674491672835
churn_14d,val,라이프사이클_규칙,611293,0.9474229215777049,0.6528119644350574,0.9643762132868163,2.392620653938674,0.24889797589392051,0.9721249795517749,0.05130423221497601,1.0260728945980477,0.9718791408333197,0.10258083787876433,1.0258134131005494,0.9716421694926345,0.20511332929295023,1.0255632910744847
churn_14d,test,무작위,1423844,0.9463754456246611,0.5027097130759491,0.9468101457536633,0.9981041257955774,0.33289962874216045,0.9471991234970222,0.050043376913092553,1.0008703500034464,0.9471288908866164,0.10007933262634036,1.0007961377965149,0.9469043329856831,0.2001119116936588,1.0005588557516651
churn_14d,test,전체_평균,1423844,0.9463754456246611,0.5,0.9463754456246611,0.2091137696049135,0.0507553860687421,0.9495308461624902,0.05016656883051538,1.0033341952735748,0.9466161928306551,0.1000251578674737,1.0002543886859143,0.9468481470946627,0.2001000377739072,1.0004994861946037
churn_14d,test,최근성_규칙,1423844,0.9463754456246611,0.6685443479705219,0.9680503056387337,1.2385767133648045,0.3759476859770216,0.9765844476907518,0.051595891920613944,1.0319207373836194,0.9758259354983706,0.1031116348829046,1.0311192455487583,0.9752430917691182,0.20610081996837085,1.0305033760944662
churn_14d,test,구매빈도_규칙,1423844,0.9463754456246611,0.6381170769959637,0.9609313337460742,0.4813009237244833,0.05251404812741949,0.9644903921788965,0.050956926613981095,1.0191413953500015,0.9647291830542758,0.10193908530743434,1.0193937168535687,0.9637214724917389,0.20366592429930885,1.0183289062995802
churn_14d,test,라이프사이클_규칙,1423844,0.9463754456246611,0.6571915528216765,0.9643075056084833,2.144638124298808,0.22155466045827757,0.9719631419260591,0.05135173444572171,1.0270375741675215,0.9716330486571525,0.1026685892521731,1.026688776794943,0.9711766379065137,0.20524144502634897,1.0262065044021533
churn_14d,val,로지스틱_회귀,611293,0.9474229215777049,0.7204103096521324,0.9731264625068654,0.18574166405870138,0.04648802153174534,0.9788647145427777,0.051659924061517426,1.0331866500682862,0.9782918091249653,0.10325768838286256,1.0325819513590146,0.977891198193998,0.20643249711216208,1.032159108590655
churn_14d,test,로지스틱_회귀,1423844,0.9463754456246611,0.723537361258149,0.9730574135667946,0.1885908618171465,0.04739590327401426,0.9795061242836274,0.05175025287738471,1.0350079651919732,0.9788740307899764,0.10343371495616668,1.034340055329589,0.9780875025020279,0.20670193715579546,1.0335089599206952
churn_14d,val,LightGBM,611293,0.9474229215777049,0.7528192119994523,0.9771903184923576,0.18083980364976618,0.04580235720533117,0.983674137084901,0.051913743000554256,1.038262970719379,0.9835102815357686,0.10380849274716698,1.0380900220336329,0.9829951169239074,0.2075099326084817,1.0375462684467942
churn_14d,test,LightGBM,1423844,0.9463754456246611,0.7543400169718473,0.9768438473158232,0.18325446586739974,0.046636416149117406,0.9823013821777727,0.0518979347542952,1.03796161102785,0.9824137543544218,0.10380774342834201,1.0380803505589404,0.9828562800023879,0.20770973609471233,1.0385479510762743
churn_28d,val,무작위,611293,0.9097634031470997,0.5017680600277288,0.9099065737283234,0.9995279816427287,0.33318853661613956,0.909896940945526,0.050007911790725945,1.000146782996507,0.9091429599698997,0.09993131127142477,0.9993180169975471,0.9099943562437122,0.20005142663971862,1.000253860614544
churn_28d,val,전체_평균,611293,0.9097634031470997,0.5,0.9097634031470997,0.3033335550305338,0.0821365362660815,0.9098642237853755,0.05000611365647005,1.000110820723198,0.9069672332280914,0.09969215941539059,0.9969264867004589,0.9075896253036586,0.19952277516848518,0.9976106119064347
churn_28d,val,최근성_규칙,611293,0.9097634031470997,0.6500807478264321,0.9413704021042912,1.1734025705378395,0.3468935363799295,0.953770652707345,0.05241920982788259,1.0483721915038715,0.9531319013888662,0.10476649428552934,1.04767008443266,0.95174997341709,0.20923090201606812,1.0461510873318802
churn_28d,val,구매빈도_규칙,611293,0.9097634031470997,0.6292432142746426,0.9320229625037851,0.7930150930453795,0.08797768349874004,0.9359070832651726,0.05143742852416333,1.0287367902771591,0.9363640825140277,0.10292340667323585,1.0292391178573568,0.9359474558110241,0.2057569066336769,1.0287811672500204
churn_28d,val,라이프사이클_규칙,611293,0.9097634031470997,0.6399865448052935,0.9357020936567435,2.3858584774740055,0.24933911863016403,0.9463111401930312,0.05200923521753828,1.0401727931894202,0.9463102619051514,0.10401667230082066,1.0401718277869025,0.9466296959733026,0.20810526997187717,1.040522945524818
churn_28d,test,무작위,1423844,0.9015095754872022,0.5009984342844508,0.901834943653156,0.9984121764312098,0.3330051428754846,0.9029104393752106,0.05007755476940408,1.001553909049997,0.9018077873918418,0.10003279814959229,1.000330791721739,0.901706295277927,0.20004378280301868,1.0002182115377072
churn_28d,test,전체_평균,1423844,0.9015095754872022,0.5,0.9015095754872022,0.3217703777355495,0.08879304772993725,0.9057337903135184,0.05023414450973778,1.0046857126548359,0.9020606247893022,0.10006084407323414,1.0006112517460528,0.9020679919513711,0.20012402530677176,1.0006194237746915
churn_28d,test,최근성_규칙,1423844,0.9015095754872022,0.6549594326051068,0.9371276194124063,1.1787447527737778,0.3601489117140017,0.9506967074952242,0.052727894553559536,1.0545608536453313,0.9504298235756826,0.10542618507660823,1.0542648125085554,0.9492325358448427,0.2105874919854878,1.0529367204245719
churn_28d,test,구매빈도_규칙,1423844,0.9015095754872022,0.6231995781980325,0.9244195688534725,0.915022741415315,0.09662249894974746,0.9295988313293628,0.051557756294946515,1.0311580227275794,0.9300202269917969,0.10316225579596279,1.031625456101436,0.928545593094754,0.20599808820287174,1.0299897176277255
churn_28d,test,라이프사이클_규칙,1423844,0.9015095754872022,0.6439719278853633,0.930725202420573,2.1867933741807417,0.22573395155102846,0.9434908416676031,0.052328240141663075,1.046567742952384,0.9424865153388021,0.10454507564219322,1.0454536934113592,0.9418897422121087,0.20895849125395663,1.0447917224873444
churn_28d,val,로지스틱_회귀,611293,0.9097634031470997,0.708954089074018,0.9506968907467827,0.27320432679266926,0.07483875153527711,0.9608702764600032,0.05280940496141204,1.0561760048119238,0.9598390289388016,0.10550372933044673,1.0550424710627815,0.9581544099002937,0.21063884113843476,1.0531907599116401
churn_28d,test,로지스틱_회귀,1423844,0.9015095754872022,0.7123168128335584,0.9467127198723727,0.2891406347058605,0.0803269715976076,0.9568771772109226,0.05307067806473778,1.061416543128561,0.9566945724238678,0.10612110074017866,1.0612139886665564,0.9552233564748972,0.211916557144738,1.0595820415536534
churn_28d,val,LightGBM,611293,0.9097634031470997,0.7387270938468828,0.9570848433072199,0.2664509275178511,0.07355977908764667,0.96787174873221,0.0531942056921738,1.063871931300049,0.9663171326211781,0.10621579049578157,1.0621631176616304,0.966350125553129,0.21244057166284264,1.0621993830596852
churn_28d,test,LightGBM,1423844,0.9015095754872022,0.7422066768329038,0.9534494797949055,0.28087687750268103,0.07875194654846324,0.9623834138667265,0.05337606701106022,1.06752433921362,0.9622218788627935,0.10673421579312703,1.0673451564203082,0.9635599380550551,0.21376602999823155,1.0688293993264786
