model,label,contact_rate_pct,policy,n_total,n_selected,n_actual_captured,precision,recall,lift,customers_needed_by_rule_for_same_recall,contact_reduction_pct
Model_B_propensity,will_purchase_14d,20,무작위,7819934,1563987,20760,0.013273767620830608,0.20146146903839995,1.007307216379248,,
Model_B_propensity,will_purchase_14d,30,무작위,7819934,2345980,31108,0.01326013009488572,0.3018816656477141,1.0062723046126532,,
Model_B_propensity,will_purchase_14d,5,최근성_규칙,7819934,390997,39269,0.100432995649583,0.38107853697827204,7.621564891768088,,
Model_B_propensity,will_purchase_14d,10,최근성_규칙,7819934,781993,58327,0.07458762418589425,0.566023270934622,5.660235604631835,,
Model_B_propensity,will_purchase_14d,20,최근성_규칙,7819934,1563987,76580,0.04896460136816994,0.7431560355954079,3.7157797028093844,,
Model_B_propensity,will_purchase_14d,30,최근성_규칙,7819934,2345980,79209,0.03376371495068159,0.7686686657544616,2.5622291042839023,,
Model_B_propensity,will_purchase_14d,5,모델_LightGBM,7819934,390997,48543,0.12415184771238653,0.4710763049870447,9.421518870893026,,
Model_B_propensity,will_purchase_14d,10,모델_LightGBM,7819934,781993,64921,0.08301992473078404,0.6300134889904606,6.3001381125088445,,
Model_B_propensity,will_purchase_14d,20,모델_LightGBM,7819934,1563987,80887,0.051718460575439565,0.7849524974040971,3.924761985128528,,
Model_B_propensity,will_purchase_14d,30,모델_LightGBM,7819934,2345980,88186,0.03759026078653697,0.8557842537871069,2.852614422482044,,
Model_B_propensity,will_purchase_14d,5,모델_vs_최근성_규칙_동일recall비교,7819934,390997,48543,,0.4710763049870447,,554935.0,29.541838233306606
Model_B_propensity,will_purchase_14d,10,모델_vs_최근성_규칙_동일recall비교,7819934,781993,64921,,0.6300134889904606,,983236.0,20.467415757763142
Model_B_propensity,will_purchase_14d,20,모델_vs_최근성_규칙_동일recall비교,7819934,1563987,80887,,0.7849524974040971,,2669186.0,41.40584432857059
Model_B_propensity,will_purchase_14d,30,모델_vs_최근성_규칙_동일recall비교,7819934,2345980,88186,,0.8557842537871069,,4339319.0,45.93667808243643
Model_B_propensity,will_purchase_28d,5,무작위,7819934,390997,9563,0.024457988168707177,0.049969693169467436,0.9993930965851046,,
Model_B_propensity,will_purchase_28d,10,무작위,7819934,781993,19291,0.02466901877638291,0.10080156341443024,1.0080161497579379,,
Model_B_propensity,will_purchase_28d,20,무작위,7819934,1563987,38440,0.024578209409669007,0.20086113201237354,1.0043055316329665,,
Model_B_propensity,will_purchase_28d,30,무작위,7819934,2345980,57620,0.02456116420429842,0.3010826853941978,1.0036090368738826,,
Model_B_propensity,will_purchase_28d,5,최근성_규칙,7819934,390997,67215,0.1719066898211495,0.3512195886631553,7.024386383662846,,
Model_B_propensity,will_purchase_28d,10,최근성_규칙,7819934,781993,103846,0.13279658513567258,0.5426281247387342,5.426284023003619,,
Model_B_propensity,will_purchase_28d,20,최근성_규칙,7819934,1563987,140670,0.08994320285270914,0.7350451467268623,3.6752252636526896,,
Model_B_propensity,will_purchase_28d,30,최근성_규칙,7819934,2345980,145712,0.06211135644805156,0.7613911880277568,2.5379708431268164,,
Model_B_propensity,will_purchase_28d,5,모델_LightGBM,7819934,390997,84458,0.216006772430479,0.4413197057102249,8.82638734198314,,
Model_B_propensity,will_purchase_28d,10,모델_LightGBM,7819934,781993,115408,0.1475818837253019,0.6030432238107182,6.030435322754864,,
Model_B_propensity,will_purchase_28d,20,모델_LightGBM,7819934,1563987,147697,0.09443620695056928,0.7717634395117465,3.858816704099746,,
Model_B_propensity,will_purchase_28d,30,모델_LightGBM,7819934,2345980,161119,0.06867876111475801,0.8418976256165872,2.8063256579674256,,
Model_B_propensity,will_purchase_28d,5,모델_vs_최근성_규칙_동일recall비교,7819934,390997,84458,,0.4413197057102249,,548362.0,28.6972839109931
Model_B_propensity,will_purchase_28d,10,모델_vs_최근성_규칙_동일recall비교,7819934,781993,115408,,0.6030432238107182,,959152.0,18.470378000567166
Model_B_propensity,will_purchase_28d,20,모델_vs_최근성_규칙_동일recall비교,7819934,1563987,147697,,0.7717634395117465,,2477914.0,36.882918454797064
Model_B_propensity,will_purchase_28d,30,모델_vs_최근성_규칙_동일recall비교,7819934,2345980,161119,,0.8418976256165872,,4143107.0,43.376311545900215
